,date,GBPtoUSD,growthRate
4,04/01/2010,1.612123166,0
5,05/01/2010,1.603334937,-0.005451339
6,06/01/2010,1.6,-0.00208
7,07/01/2010,1.593625498,-0.003984064
8,08/01/2010,1.595914459,0.001436323
9,11/01/2010,1.617076326,0.013260026
10,12/01/2010,1.619170984,0.001295337
11,13/01/2010,1.626545218,0.004554327
12,14/01/2010,1.63132137,0.002936378
13,15/01/2010,1.625487646,-0.003576073
14,18/01/2010,1.63371998,0.005064532
15,19/01/2010,1.637197119,0.002128356
16,20/01/2010,1.627604167,-0.005859375
17,21/01/2010,1.617599482,-0.006146878
18,22/01/2010,1.612383102,-0.003224766
19,25/01/2010,1.620745543,0.005186386
20,26/01/2010,1.614726304,-0.00371387
21,27/01/2010,1.619170984,0.002752591
22,28/01/2010,1.613684041,-0.003388736
23,29/01/2010,1.602050625,-0.007209228
24,01/02/2010,1.590330789,-0.007315522
25,02/02/2010,1.596933887,0.004152028
26,03/02/2010,1.593625498,-0.002071713
27,04/02/2010,1.578282828,-0.009627525
28,05/02/2010,1.564455569,-0.008760951
29,08/02/2010,1.563966218,-0.000312793
30,09/02/2010,1.560792883,-0.002029031
31,10/02/2010,1.558846454,-0.001247077
32,11/02/2010,1.56128025,0.00156128
33,12/02/2010,1.564210856,0.001877053
34,15/02/2010,1.565190171,0.000626076
35,16/02/2010,1.567643831,0.001567644
36,17/02/2010,1.572574304,0.003145149
37,18/02/2010,1.564210856,-0.005318317
38,19/02/2010,1.5417823,-0.014338575
39,22/02/2010,1.549186677,0.004802479
40,23/02/2010,1.545117429,-0.0026267
41,24/02/2010,1.545117429,0
42,25/02/2010,1.525320317,-0.012812691
43,26/02/2010,1.52230172,-0.001978992
44,01/03/2010,1.493875112,-0.018673439
45,02/03/2010,1.492760113,-0.00074638
46,03/03/2010,1.506704837,0.00934157
47,04/03/2010,1.505343971,-0.000903206
48,05/03/2010,1.510117789,0.003171247
49,08/03/2010,1.506931887,-0.002109705
50,09/03/2010,1.498576352,-0.005544733
51,10/03/2010,1.497005988,-0.001047904
52,11/03/2010,1.504211793,0.004813478
53,12/03/2010,1.517911354,0.009107468
54,15/03/2010,1.504211793,-0.009025271
55,16/03/2010,1.519064256,0.009873918
56,17/03/2010,1.529519731,0.006882839
57,18/03/2010,1.524390244,-0.003353659
58,19/03/2010,1.501501502,-0.015015015
59,22/03/2010,1.506931887,0.003616637
60,23/03/2010,1.506704837,-0.00015067
61,24/03/2010,1.49142431,-0.010141685
62,25/03/2010,1.488538255,-0.0019351
63,26/03/2010,1.490535102,0.001341482
64,29/03/2010,1.498127341,0.005093633
65,30/03/2010,1.510802236,0.008460493
66,31/03/2010,1.5167602,0.003943577
67,01/04/2010,1.528117359,0.007487775
68,06/04/2010,1.51998784,-0.005319957
69,07/04/2010,1.520450053,0.00030409
70,08/04/2010,1.524622656,0.002744321
71,09/04/2010,1.535390757,0.007062797
72,12/04/2010,1.538935057,0.002308403
73,13/04/2010,1.536334306,-0.001689968
74,14/04/2010,1.546072975,0.006338899
75,15/04/2010,1.549907006,0.002479851
76,16/04/2010,1.54059467,-0.006008319
77,19/04/2010,1.530221882,-0.006732976
78,20/04/2010,1.535390757,0.00337786
79,21/04/2010,1.54059467,0.003389308
80,22/04/2010,1.538698261,-0.001230959
81,23/04/2010,1.535390757,-0.002149547
82,26/04/2010,1.546551191,0.007268791
83,27/04/2010,1.534448366,-0.007825687
84,28/04/2010,1.51998784,-0.009423925
85,29/04/2010,1.527650474,0.005041247
86,30/04/2010,1.531393568,0.00245023
87,04/05/2010,1.511487304,-0.012998791
88,05/05/2010,1.511487304,0
89,06/05/2010,1.497230124,-0.00943255
90,07/05/2010,1.468213185,-0.019380414
91,10/05/2010,1.499025633,0.020986359
92,11/05/2010,1.486988848,-0.00802974
93,12/05/2010,1.486104919,-0.000594442
94,13/05/2010,1.467782181,-0.01232937
95,14/05/2010,1.455604076,-0.008296943
96,17/05/2010,1.443001443,-0.008658009
97,18/05/2010,1.443626389,0.000433088
98,19/05/2010,1.436781609,-0.004741379
99,20/05/2010,1.430410528,-0.004434273
100,21/05/2010,1.444251878,0.009676488
101,24/05/2010,1.440714594,-0.002449215
102,25/05/2010,1.433691756,-0.004874552
103,26/05/2010,1.442377037,0.006057984
104,27/05/2010,1.447387466,0.00347373
105,28/05/2010,1.445922499,-0.001012146
106,01/06/2010,1.469939732,0.016610319
107,02/06/2010,1.457088737,-0.008742532
108,03/06/2010,1.462202076,0.003509285
109,04/06/2010,1.455815985,-0.004367448
110,07/06/2010,1.449485433,-0.004348456
111,08/06/2010,1.436988073,-0.008621928
112,09/06/2010,1.459427904,0.015615879
113,10/06/2010,1.466490688,0.004839419
114,11/06/2010,1.455392228,-0.00756804
115,14/06/2010,1.478852411,0.016119491
116,15/06/2010,1.481700993,0.001926211
117,16/06/2010,1.483459427,0.001186768
118,17/06/2010,1.479071143,-0.002958142
119,18/06/2010,1.480165779,0.000740083
120,21/06/2010,1.481700993,0.001037191
121,22/06/2010,1.479289941,-0.001627219
122,23/06/2010,1.489868892,0.007151371
123,24/06/2010,1.496781919,0.004640024
124,25/06/2010,1.497678598,0.000599071
125,28/06/2010,1.510802236,0.008762653
126,29/06/2010,1.506024096,-0.003162651
127,30/06/2010,1.496110114,-0.006582885
128,01/07/2010,1.511258879,0.010125434
129,02/07/2010,1.519064256,0.005164818
130,05/07/2010,1.511030523,-0.005288607
131,06/07/2010,1.521838381,0.00715264
132,07/07/2010,1.51998784,-0.00121599
133,08/07/2010,1.516070346,-0.00257732
134,09/07/2010,1.511030523,-0.003324267
135,12/07/2010,1.507386192,-0.002411818
136,13/07/2010,1.516990291,0.006371359
137,14/07/2010,1.526484506,0.006258586
138,15/07/2010,1.537515375,0.007226322
139,16/07/2010,1.534212949,-0.002147898
140,19/07/2010,1.521375323,-0.008367564
141,20/07/2010,1.524157903,0.001828989
142,21/07/2010,1.521375323,-0.00182565
143,22/07/2010,1.526018617,0.003052037
144,23/07/2010,1.540120129,0.009240721
145,26/07/2010,1.54726907,0.004641807
146,27/07/2010,1.555451859,0.005288536
147,28/07/2010,1.562011871,0.004217432
148,29/07/2010,1.561036528,-0.000624415
149,30/07/2010,1.566170713,0.003288958
150,02/08/2010,1.589825119,0.015103339
151,03/08/2010,1.595405233,0.003509892
152,04/08/2010,1.587805653,-0.004763417
153,05/08/2010,1.583280557,-0.002849905
154,06/08/2010,1.597444089,0.008945687
155,09/08/2010,1.595914459,-0.000957549
156,10/08/2010,1.573811772,-0.013849544
157,11/08/2010,1.566170713,-0.004855129
158,12/08/2010,1.558117794,-0.005141789
159,13/08/2010,1.558603491,0.000311721
160,16/08/2010,1.567398119,0.005642633
161,17/08/2010,1.558117794,-0.005920848
162,18/08/2010,1.559089492,0.000623636
163,19/08/2010,1.563232765,0.002657496
164,20/08/2010,1.550868486,-0.007909429
165,23/08/2010,1.550628004,-0.000155063
166,24/08/2010,1.545356205,-0.003399784
167,25/08/2010,1.542495758,-0.001850995
168,26/08/2010,1.558360605,0.01028518
169,27/08/2010,1.547508511,-0.006963788
170,31/08/2010,1.536806516,-0.006915629
171,01/09/2010,1.546072975,0.006029685
172,02/09/2010,1.540120129,-0.0038503
173,03/09/2010,1.543924656,0.002470279
174,06/09/2010,1.541307028,-0.001695438
175,07/09/2010,1.530456076,-0.007040098
176,08/09/2010,1.548467018,0.011768349
177,09/09/2010,1.547508511,-0.000619003
178,10/09/2010,1.538224888,-0.005999077
179,13/09/2010,1.543448063,0.003395586
180,14/09/2010,1.549907006,0.004184749
181,15/09/2010,1.563721658,0.008913213
182,16/09/2010,1.563721658,0
183,17/09/2010,1.563721658,0
184,20/09/2010,1.557632399,-0.003894081
185,21/09/2010,1.554243084,-0.00217594
186,22/09/2010,1.56641604,0.00783208
187,23/09/2010,1.571832757,0.003458032
188,24/09/2010,1.581277672,0.006008855
189,27/09/2010,1.583280557,0.001266624
190,28/09/2010,1.580278129,-0.001896334
191,29/09/2010,1.580028441,-0.000158003
192,30/09/2010,1.575547503,-0.002835986
193,01/10/2010,1.581027668,0.003478261
194,04/10/2010,1.583782072,0.00174216
195,05/10/2010,1.592103168,0.00525394
196,06/10/2010,1.589067218,-0.001906881
197,07/10/2010,1.594133588,0.003188267
198,08/10/2010,1.593117731,-0.000637247
199,11/10/2010,1.590583744,-0.001590584
200,12/10/2010,1.578282828,-0.007733586
201,13/10/2010,1.583782072,0.003484321
202,14/10/2010,1.601537476,0.011210762
203,15/10/2010,1.601024656,-0.000320205
204,18/10/2010,1.590077914,-0.006837335
205,19/10/2010,1.572821642,-0.010852469
206,20/10/2010,1.585539876,0.008086253
207,21/10/2010,1.576789656,-0.005518764
208,22/10/2010,1.566906926,-0.006267628
